"keyword","volume_bulanan","sub_query","priority","source","bing_crosscheck"
"motorik halus adalah","4400","cara mengevaluasi motorik halus","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"hiperaktif","3600","pengertian hiperaktif dan ADHD","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"hiperaktif","3600","cara mendampingi anak hiperaktif di sekolah","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"hiperaktif","3600","kebijakan siswa hiperaktif","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"hiperaktif","3600","strategi kelas untuk anak hiperaktif","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"hiperaktif","3600","peran keluarga anak hiperaktif","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"hiperaktif","3600","manfaat skrining dini hiperaktif","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"shadow teacher","2900","apa itu shadow teacher","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"shadow teacher","2900","biaya dan pendanaan shadow teacher","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"shadow teacher","2900","kualifikasi shadow teacher","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"shadow teacher","2900","cara kerja shadow teacher di kelas inklusi","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"shadow teacher","2900","tantangan shadow teacher","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"shadow teacher","2900","cara menilai efektivitas shadow teacher","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas intelektual","2400","pengertian disabilitas intelektual","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas intelektual","2400","identifikasi dini disabilitas intelektual","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas intelektual","2400","hak pendidikan disabilitas intelektual","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas intelektual","2400","penyesuaian kurikulum","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas intelektual","2400","terapi okupasi untuk disabilitas intelektual","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas intelektual","2400","mengukur kemajuan belajar","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik kasar","1900","arti motorik kasar","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik kasar","1900","tanda keterlambatan motorik kasar","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik kasar","1900","kegiatan untuk motorik kasar","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik kasar","1900","dukungan motorik kasar di sekolah","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik kasar","1900","olahraga dan motorik kasar","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik kasar","1900","cara mengevaluasi motorik kasar","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pendidikan inklusi adalah","1300","definisi pendidikan inklusi Indonesia","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pendidikan inklusi adalah","1300","implementasi pendidikan inklusi","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pendidikan inklusi adalah","1300","manfaat inklusi bagi semua siswa","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pendidikan inklusi adalah","1300","kendala pendidikan inklusi","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pendidikan inklusi adalah","1300","pelatihan guru inklusi","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pendidikan inklusi adalah","1300","indikator keberhasilan sekolah inklusi","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas sensorik","1300","pengertian disabilitas sensorik","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas sensorik","1300","jenis disabilitas sensorik","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas sensorik","1300","hak pendidikan disabilitas sensorik","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas sensorik","1300","teknologi bantu sensorik","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas sensorik","1300","pendamping bahasa isyarat","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas sensorik","1300","evaluasi belajar disabilitas sensorik","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling adalah","1300","elemen utama homeschooling","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling adalah","1300","beda homeschooling dan sekolah formal","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling adalah","1300","regulasi homeschooling terbaru","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling adalah","1300","cara menyusun kurikulum homeschooling","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling adalah","1300","tantangan orang tua homeschooling","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling adalah","1300","akreditasi dan ijazah homeschooling","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas fisik","1000","pengertian disabilitas fisik","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas fisik","1000","hak pendidikan disabilitas fisik","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas fisik","1000","contoh aksesibilitas sekolah","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas fisik","1000","desain sekolah ramah disabilitas fisik","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas fisik","1000","teknologi bantu disabilitas fisik","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas fisik","1000","audit aksesibilitas sekolah","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"biaya homeschooling","1000","estimasi biaya homeschooling","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"biaya homeschooling","1000","komponen biaya homeschooling","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"biaya homeschooling","1000","bantuan biaya homeschooling","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"biaya homeschooling","1000","insentif keluarga homeschooling","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"biaya homeschooling","1000","perbandingan biaya homeschooling dan sekolah","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"biaya homeschooling","1000","cara menghemat biaya homeschooling","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"sensori integrasi adalah","880","pengertian integrasi sensorik","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"sensori integrasi adalah","880","tanda gangguan integrasi sensorik","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"sensori integrasi adalah","880","terapi sensori integrasi","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"sensori integrasi adalah","880","peran keluarga dalam integrasi sensorik","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"sensori integrasi adalah","880","kebutuhan sensorik di kelas","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"sensori integrasi adalah","880","alat bantu integrasi sensorik","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"yayasan sosial","720","pengertian yayasan sosial","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"yayasan sosial","720","cara mendirikan yayasan sosial","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"yayasan sosial","720","peran yayasan sosial dalam pendidikan inklusi","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"yayasan sosial","720","sumber dana yayasan sosial","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"yayasan sosial","720","kerja sama yayasan dengan pemerintah","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"yayasan sosial","720","program yayasan disabilitas","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pengertian ABK","390","arti singkatan ABK","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pengertian ABK","390","cara identifikasi ABK di sekolah","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pengertian ABK","390","hak dan layanan ABK","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pengertian ABK","390","pelatihan guru untuk ABK","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pengertian ABK","390","ragam kebutuhan ABK","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"pengertian ABK","390","asesmen dan penempatan ABK","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"kartu disabilitas","390","pengertian kartu disabilitas","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"kartu disabilitas","390","cara mendapatkan kartu disabilitas","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"kartu disabilitas","390","syarat dokumen kartu disabilitas","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"kartu disabilitas","390","manfaat kartu disabilitas","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"kartu disabilitas","390","beda kartu disabilitas dan bantuan sosial","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"kartu disabilitas","390","masa berlaku kartu disabilitas","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"gangguan sensorik","170","pengertian gangguan sensorik","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"gangguan sensorik","170","dampak gangguan sensorik pada belajar","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"gangguan sensorik","170","penanganan awal gangguan sensorik","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"gangguan sensorik","170","alat bantu gangguan sensorik","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"gangguan sensorik","170","monitoring gangguan sensorik","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"gangguan sensorik","170","penyesuaian lingkungan belajar sensorik","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
